,mileage,year,gearbox,transmission,horsepower,fuel,price,brand_Alfa,brand_Audi,brand_BMW,brand_BYD,brand_Changan,brand_Chery,brand_Chevrolet,brand_Citroën,brand_Cupra,brand_DFSK,brand_DS,brand_Dacia,brand_Dongfeng,brand_Fiat,brand_Ford,brand_GWM,brand_Geely,brand_Honda,brand_Hummer,brand_Hyundai,brand_Isuzu,brand_Iveco,brand_Jaguar,brand_Jeep,brand_Jetour,brand_KIA,brand_Lada,brand_Lancia,brand_Land,brand_MG,brand_Mahindra,brand_Mazda,brand_Mercedes-Benz,brand_Mini,brand_Mitsubishi,brand_Nissan,brand_Opel,brand_Peugeot,brand_Porsche,brand_Renault,brand_Seat,brand_Skoda,brand_Smart,brand_Soueast,brand_Ssangyong,brand_Suzuki,brand_Tesla,brand_Toyota,brand_Volkswagen,brand_Volvo,brand_Wallyscar
59,1600,2026,Automatique,Intégrale,7,Electrique,168000.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
60,88000,2014,Automatique,Traction,10,Essence,88000.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
61,69000,2022,Automatique,Traction,7,Electrique,150000.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
62,90000,2022,Automatique,Intégrale,11,Diesel,265000.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
63,36000,2016,Automatique,Traction,33,Essence,208000.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
64,114000,2022,Automatique,Propulsion,9,Hybride,148000.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
65,91000,2014,Automatique,Traction,8,Essence,95000.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
66,154000,2019,Manuelle,Propulsion,7,Diesel,55000.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
67,22000,2024,Automatique,Traction,8,Hybride,163000.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
68,69000,2022,Automatique,Traction,7,Electrique,150000.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
69,1600,2026,Automatique,Traction,7,Electrique,168000.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
70,22000,2025,Automatique,Traction,8,Hybride,163000.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
71,56000,2018,Automatique,Propulsion,10,Hybride,118000.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
72,155000,2008,Automatique,Intégrale,19,Essence,62000.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
73,139000,2020,Automatique,Traction,6,Essence,66000.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
74,115000,2019,Automatique,Traction,10,Essence,132000.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
75,250000,2017,Automatique,Traction,9,Essence,66000.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
